City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,atherton,53.5237,-2.4935,12.49,88,100,0.27,GB,1717959011
279,berdigestyakh,62.0989,126.6992,10.27,44,3,1.24,RU,1717959011
280,luderitz,-26.6481,15.1594,20.82,30,9,3.5,NA,1717959011
281,sisimiut,66.9395,-53.6735,1.88,99,100,2.09,GL,1717959012
282,bria,6.5423,21.9863,21.23,97,100,1.62,CF,1717959012
283,pahrump,36.2083,-115.9839,36.29,14,49,4.02,US,1717959012
284,susuman,62.7833,148.1667,3.88,58,25,0.89,RU,1717959012
285,orkney,-26.9802,26.6727,10.29,45,5,2.41,ZA,1717959012
286,jertih,5.7336,102.4897,25.26,90,99,1.0,MY,1717959012
287,kattivakkam,13.2167,80.3167,30.1,90,100,2.66,IN,1717959012
288,el bauga,18.262,33.9081,38.32,13,3,3.6,SD,1717959012
289,tsaratanana,-16.7833,47.65,19.95,79,0,4.46,MG,1717959012
290,malchin,53.7333,12.7833,15.39,85,84,3.56,DE,1717959013
291,piacabucu,-10.4056,-36.4344,25.58,84,12,4.74,BR,1717958928
292,vorkuta,67.5,64.0,2.28,96,100,1.79,RU,1717958967
293,broome,42.2506,-75.833,21.93,63,75,4.12,US,1717959013
294,siwa oasis,29.2041,25.5195,32.8,22,0,3.44,EG,1717959013
295,sassandra,4.95,-6.0833,25.52,92,100,3.02,CI,1717959013
296,utete,-7.986,38.758,21.86,73,84,1.85,TZ,1717959013
297,emerald,-23.5333,148.1667,10.4,66,0,4.01,AU,1717959013
298,cockburn town,21.4612,-71.1419,27.93,83,100,6.06,TC,1717959013
299,pointe-noire,-4.7761,11.8635,24.04,88,20,2.06,CG,1717959013
300,utrik,11.2278,169.8474,28.0,81,71,6.61,MH,1717959014
301,bosobolo,4.1833,19.9,23.8,86,98,1.18,CD,1717959014
302,bila tserkva,49.8094,30.1121,17.34,92,100,2.95,UA,1717959014
303,vadso,70.0744,29.7487,6.49,87,100,6.69,NO,1717959014
304,khonsa,27.0167,95.5667,22.99,92,46,1.78,IN,1717959014
305,narok,-1.0783,35.8601,15.15,89,100,2.43,KE,1717958944
306,hobyo,5.3505,48.5268,26.81,78,97,12.3,SO,1717959014
307,mezhdurechenskiy,59.6,65.9333,14.15,75,96,1.77,RU,1717959014
308,filey,54.21,-0.2892,13.82,77,100,0.89,GB,1717959014
309,kerikeri,-35.2268,173.9474,17.73,95,99,1.34,NZ,1717959014
310,am timan,11.0297,20.2827,29.75,48,100,1.89,TD,1717959014
311,los frentones,-26.4077,-61.4137,32.31,28,32,4.0,AR,1717959015
312,luena,-11.7833,19.9167,21.1,46,4,2.57,AO,1717959015
313,machali,-34.1833,-70.6667,12.6,71,100,0.51,CL,1717958861
314,sittwe,20.15,92.9,28.03,85,19,2.56,MM,1717959015
315,huangmei,30.1924,116.025,21.69,95,100,1.09,CN,1717959015
316,zhanibek,49.4167,46.85,22.37,53,96,4.03,KZ,1717959015
317,khandyga,62.6667,135.6,10.18,66,98,1.46,RU,1717959015
318,dakar,14.6937,-17.4441,27.49,73,75,4.12,SN,1717958568
319,barra de santo antonio,-9.4047,-35.5072,27.6,75,4,5.76,BR,1717959015
320,pacasmayo,-7.4006,-79.5714,21.11,70,50,5.79,PE,1717959016
321,tolanaro,-25.0319,46.9987,17.04,94,75,6.17,MG,1717959016
322,castillos,-34.1667,-53.8333,23.56,73,4,6.09,UY,1717958752
323,ayacucho,-13.1583,-74.2239,20.92,14,0,1.03,PE,1717959016
324,kiunga,-6.1219,141.2906,23.54,99,100,1.07,PG,1717959016
325,port shepstone,-30.7414,30.455,16.33,73,0,4.18,ZA,1717959016
326,tsiombe,-25.3,45.4833,17.13,69,77,4.89,MG,1717959016
327,cambria,35.5641,-121.0808,27.91,78,39,1.79,US,1717959016
328,recani,31.2846,-4.2688,33.65,10,64,6.73,MA,1717959016
329,sibut,5.718,19.0739,21.7,96,100,1.22,CF,1717959017
330,oranjemund,-28.55,16.4333,19.89,30,15,3.86,NA,1717959017
331,bridgewater,44.3835,-64.5155,22.28,64,96,8.23,CA,1717959017
332,ilek,51.5271,53.3831,18.39,74,75,1.81,RU,1717959017
333,rio grande,-32.035,-52.0986,28.06,71,100,6.24,BR,1717959006
334,mancio lima,-7.6142,-72.8958,29.04,74,40,1.03,BR,1717959017
335,baoqing,46.3317,132.2111,12.88,95,69,1.83,CN,1717959017
336,visby,57.6409,18.296,12.12,82,20,7.2,SE,1717959017
337,oberstaufen,47.55,10.0333,15.91,80,100,0.81,DE,1717959018
338,funafuti,-8.5243,179.1942,28.0,89,75,0.51,TV,1717959018
339,sovetskaya gavan',48.9723,140.2878,11.17,99,100,2.02,RU,1717959018
340,pemangkat,1.1667,108.9667,27.42,80,66,2.48,ID,1717959018
341,noumea,-22.2763,166.4572,23.89,99,100,1.38,NC,1717959018
342,kingston,17.997,-76.7936,32.31,66,75,10.29,JM,1717959018
343,orange cove,36.6244,-119.3137,32.14,32,0,2.57,US,1717959018
344,carnaiba,-8.7,-37.6667,26.96,61,100,7.51,BR,1717959019
345,annaba,36.9,7.7667,26.98,47,0,6.17,DZ,1717959019
346,manismata,-2.4667,111.0333,23.75,98,26,1.12,ID,1717958833
347,banda aceh,5.5577,95.3222,27.05,82,100,5.9,ID,1717959019
348,fort st. john,56.2499,-120.8529,8.94,87,100,2.06,CA,1717959019
